molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL206885,NC(=O)c1cccc(CC(CCCS)C(=O)O)c1,intermediate,267.34999999999997,1.7388000000000001,3.0,3.0,5.657577319177793
CHEMBL425947,COC(=O)c1cccc(CC(CCCS)C(=O)O)c1,intermediate,282.36099999999993,2.4265,2.0,4.0,5.568636235841013
CHEMBL377648,NC(=O)C(CCCS)Cc1cccc(C(=O)O)c1,active,267.35,1.7388,3.0,3.0,6.1938200260161125
CHEMBL379141,COC(=O)C(CCCS)Cc1cccc(C(=O)O)c1,active,282.361,2.4265,2.0,4.0,6.136677139879544
CHEMBL207243,O=C(O)c1cccc(CC(CCCSC(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)O)c1,inactive,510.65500000000014,7.133600000000007,2.0,3.0,4.698970004336019
CHEMBL207427,CSCCCC(Cc1cccc(C(=O)O)c1)C(=O)O,inactive,282.36100000000005,2.7713,2.0,3.0,4.698970004336019
CHEMBL206804,O=C(O)c1ccccc1CC(CCCCCS)C(=O)O,active,296.388,3.118300000000002,3.0,3.0,6.721246399047171
CHEMBL204412,O=C(O)c1cccc(CC(CCCCS)C(=O)O)c1,active,282.36099999999993,2.7282,3.0,3.0,6.4089353929735005
CHEMBL206078,O=C(O)c1cccc(CC(CCS)C(=O)O)c1,intermediate,254.307,1.948,3.0,3.0,5.958607314841775
CHEMBL206699,O=C(O)c1cccc(CC(CS)C(=O)O)c1,active,240.28,1.5579,3.0,3.0,6.356547323513812
CHEMBL205399,O=C(O)c1ccc(CC(CCCS)C(=O)O)cc1,active,268.33399999999995,2.3381,3.0,3.0,7.200659450546418
CHEMBL382398,O=C(O)c1cccc(CC(CCCS)C(=O)O)c1,active,268.33399999999995,2.3381,3.0,3.0,7.823908740944319
CHEMBL207314,O=C(O)c1ccccc1CC(CCCS)C(=O)O,intermediate,268.33399999999995,2.3381000000000003,3.0,3.0,5.769551078621726
CHEMBL575060,N[C@@H](CCC(=O)O)C(=O)O,inactive,147.13,-0.7368999999999997,3.0,3.0,3.3685562309868278
CHEMBL284377,N[C@@H](COP(=O)(O)O)C(=O)O,inactive,185.072,-1.4924000000000002,4.0,4.0,3.281498311132726
CHEMBL28885,N[C@@H](COS(=O)(=O)O)C(=O)O,inactive,185.15699999999998,-1.7822999999999993,3.0,5.0,3.3585258894959003
CHEMBL122005,N[C@@H](Cn1ccc(=O)[nH]c1=O)C(=O)O,inactive,199.16599999999997,-2.0515,3.0,5.0,4.173925197299173
CHEMBL279956,N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O,intermediate,189.12699999999998,-2.4585,3.0,6.0,5.022276394711152
